CategoryID,CategoryName,Description,Picture
1,sartor,Nulla tellus. In sagittis dui vel nisl.,0xDDEFFEFEDBEFEFEDFEFDFEFFFEEDAFBF
2,oryx,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0xFFEFCFFFFFEFFFDF6EFEFCDDCDCFFFFE
3,cleavers,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,0xFFEDFFFFFCEDCEEEEEEFFFEDFFFFFEFD
4,chevrons,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,0xFDFFEEFEFCDFEFFFF2FDCBEEBFEFFFBD
5,plectrons,Quisque porta volutpat erat.,0xFFFEFFFFBBEFAFEEFFFEFFCFDFFDAFEF
6,sidings,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,0xEFEFFEFFFFFDEEEDFEFFEFEFCDFEFAFE
7,morgens,Vivamus in felis eu sapien cursus vestibulum.,0xEDEEFEDFEFDFCFCEEEEFDCDFEEFFDFFC
8,dunite,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,0xFDDFFFDAFFDFFEDFEFFFFFEFDFECDEFD
9,skirrets,Nulla facilisi.,0xEFFFEFEFDFFCFEEEFFFFDCFEFBEDFEFF
10,frippets,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",0xEBFCCAFEDFEFEFEFFFEEFFEFEDBFFDFF
11,boxrooms,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,0xFEFFFFEEFFDEFDFEDEFEDDFFFFDFFEFF
12,medicks,Aenean lectus.,0xFEEFFDFFFFEBDEFFFDFFFECEFBFFEBFF
13,tapirs,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0xFFEFFFFFEFCFDFECFFFEFEDFE0FFAECC
14,lauder,Pellentesque viverra pede ac diam.,0xDFFDDFFEEBFFFDDEDDDFFDDFFFEFFFFF
15,corral,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0xEFEFCEDDCFEFFEFBFEEFECFFFFEDFBEF
16,looper,Aliquam quis turpis eget elit sodales scelerisque.,0xFFF4EDDBFEFFFFFFFFFFFEEFFEFFFFDF
17,bother,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0xF3BFFFEFEECFEFEDFCFFEFCFEEDEBEEF
18,burnsides,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",0xEFFFBEFCE0BFDECCFFAF0FCDFEFCDFEB
19,toadies,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,0xDFCDEFEFFFFFFCFFFFFECFFFEEDFDFEC
20,artic,Duis aliquam convallis nunc.,0xFFFBFAAFFCFEFFEFFCCEEDFFDFFFDEFF
21,peafowls,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",0xFFFFFFEEEEFFDEFBDDCECFFFFFEFDAFE
22,mantlets,Ut tellus.,0xECDFEFFFFFFEFDFEFCDFFEDDFFFFDFFF
23,lactates,Cras in purus eu magna vulputate luctus.,0xFCDFBFFFBBFEF0FFFFFEFFFFFFFFFEFB
24,joinders,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",0xFBFFFFFFEFDFDFEFCEBFEDFFFFBEEFFF
