ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,ProductAdjective,ProductNoun
1,unweaned rovers,22,8,48 per R,54.79,73,77,99,false,unweaned,rovers
2,broch gamer,24,9,74 per T,73.24,23,12,100,false,broch,gamer
3,upmost divans,22,7,40 per H,23.24,79,25,71,false,upmost,divans
4,fungal onding,27,3,69 per j,92.21,43,69,9,true,fungal,onding
5,faddy kingships,15,7,67 per D,12.17,24,86,99,true,faddy,kingships
6,twofold rattles,22,1,81 per O,95.65,74,15,31,true,twofold,rattles
7,mannered chairman,27,9,47 per t,97.5,10,16,38,true,mannered,chairman
8,transposed gobbets,28,4,25 per E,1.41,27,66,63,false,transposed,gobbets
9,crispy tetrads,6,1,37 per e,71.75,38,63,97,false,crispy,tetrads
10,scummy gummite,7,7,32 per p,62.19,61,11,75,false,scummy,gummite
11,sveltest kilo,5,9,16 per F,47.35,36,23,5,true,sveltest,kilo
12,unbreathed pressie,22,9,35 per k,1.95,81,90,90,true,unbreathed,pressie
13,tasteful fuchsias,9,4,64 per Z,56.54,5,89,4,true,tasteful,fuchsias
14,warning fibrin,12,7,01 per O,56.03,7,60,84,true,warning,fibrin
15,curly penguins,8,5,56 per A,66.47,100,45,83,false,curly,penguins
16,bosomed goatee,15,3,99 per I,68.39,74,9,11,false,bosomed,goatee
17,enjambed dorses,7,2,59 per o,22.76,54,37,32,false,enjambed,dorses
18,brakeless ampoules,13,8,82 per k,80.85,97,88,60,false,brakeless,ampoules
19,northmost grainer,5,5,86 per u,68.78,68,99,58,false,northmost,grainer
20,unpaged brougham,17,6,01 per t,9.17,52,53,78,true,unpaged,brougham
21,fangled braccio,19,6,97 per m,33.72,69,48,14,false,fangled,braccio
22,unleased bronzings,22,1,86 per u,36.98,98,5,23,true,unleased,bronzings
23,boxlike mucins,21,8,38 per e,62.24,18,21,97,false,boxlike,mucins
24,speedy brass,7,4,10 per S,12.69,45,55,54,true,speedy,brass
25,unarmed milko,8,1,07 per M,56.69,61,55,61,true,unarmed,milko
26,gainful naggers,2,9,83 per X,17.78,94,10,48,false,gainful,naggers
27,tidied bursar,24,2,38 per x,21.53,83,55,28,true,tidied,bursar
28,awash headwords,23,2,23 per L,86.32,56,67,92,true,awash,headwords
29,rimose britzkas,15,8,15 per s,54.77,97,41,2,true,rimose,britzkas
30,flattish baseman,3,6,94 per B,26,25,73,8,false,flattish,baseman
31,rootless russet,24,8,25 per a,31.08,100,78,95,true,rootless,russet
32,wavelike curfews,3,1,55 per m,81.53,44,6,61,true,wavelike,curfews
33,gelid swallet,1,8,02 per H,87.96,71,55,18,true,gelid,swallet
34,foresaid water,18,10,13 per F,17.69,73,47,41,false,foresaid,water
35,warmish crumpet,16,5,89 per K,1.77,77,47,47,false,warmish,crumpet
36,slimmer blending,19,5,77 per a,50.73,35,9,98,false,slimmer,blending
37,hearty eyas,30,7,14 per q,88.23,43,84,45,true,hearty,eyas
38,sparry whirlwind,18,8,47 per i,16.27,25,88,11,true,sparry,whirlwind
39,frozen smilax,18,5,96 per Q,16.48,51,54,11,false,frozen,smilax
40,clogging record,21,5,51 per H,28.29,19,68,36,true,clogging,record
41,leachy goulash,27,5,20 per n,93.03,61,22,80,false,leachy,goulash
42,record hearting,27,5,77 per C,65.87,83,27,72,true,record,hearting
43,hither leaker,29,3,77 per o,8.06,55,82,4,false,hither,leaker
44,cooking bylaws,25,1,18 per y,74.18,81,65,71,true,cooking,bylaws
45,befogged kali,23,9,22 per F,50.59,39,82,83,false,befogged,kali
46,screwy wainscots,12,2,78 per E,81.06,23,3,66,false,screwy,wainscots
47,dungy swapper,28,6,81 per c,45.93,15,25,7,false,dungy,swapper
48,unweaned pitsaw,6,3,03 per t,58.4,77,13,41,true,unweaned,pitsaw
49,labelled sonant,5,1,90 per H,87.62,100,16,71,false,labelled,sonant
50,sylphy ouzos,8,2,86 per Q,39.86,2,47,87,false,sylphy,ouzos
