CategoryID,CategoryName,Description,Picture
1,chinar,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,0xDEEEFFFFEFFFEEEFDFFFFDFFEFFEFEBF
2,judgeships,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0xECFCEECFFFEFFEEFCFEEFF6FFFFCDDFF
3,hardback,Nulla tellus.,0xEEFEFEFEFBFDFFFEFEBFEFAEFDFFEEEE
4,waxwing,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0xFEDFEFDEFFEFFDECDFFEEDFDEFDCFEFF
5,ryals,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,0xDFCFCFFFEBFBFBDCFEEFCFEEEFCFFCAF
6,dreamboat,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,0xCFFEFDFEFFDBFEDFEDFDBBFFEEFFFEEE
7,landslips,In hac habitasse platea dictumst.,0xFEFFDCFEFEFCEFECEEBFDFFE5FEFEFFD
8,cardoons,Ut tellus. Nulla ut erat id mauris vulputate elementum.,0xFFFDFFFEFFEFCFFFFFADEFAADDEFDEEF
9,envoy,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,0xFCFFFCFEFBBFAFEFFEFEEDFEFDFEDFED
10,igloo,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0xFFB5FDEFEEECCDEEFECEFFFDEFEEDEFE
11,broadcloths,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0xFBFDDFFFDFECFEFEFDDEFEEFBFEFFECF
12,bonehead,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",0xEFDDFECFEFDEEBFFAFFEFCFCDFFFFEDD
13,munshis,In hac habitasse platea dictumst.,0xFFCEEEFFEFECEFDEFDFFFDEFEEEFFEEE
14,pledgors,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",0xCFECEFE2FCFFEFEFFEEFDFFFFFCCED7F
15,bullfights,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",0xFFDB2FFFEEBFFFFFFEE2FCEFFDDDFFEE
16,nutwood,Proin eu mi. Nulla ac enim.,0xCFFFFEFEFFFDCECEEDBFFFDFEFFFFFFE
17,bheesty,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0xEFFFFEEFFFFFFDEEFFDFFEEEECEFFFEF
18,albums,Aliquam non mauris. Morbi non lectus.,0xFDCFCFAEEEFEFCEFFFFFDFFEFEFEDEFD
19,voussoirs,Ut at dolor quis odio consequat varius. Integer ac leo.,0xFFFFFFFEECFCFFFFFFFFFEFDDEFDEFCF
20,scuttles,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0xFEEEFEEEDFDEFEFDFFFFDCEFFDEFFEED
21,chincough,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0xFEDFFEFFEEDFDFFEDE6FFFEFEE2FD6ED
22,bolas,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0xDFFFFEDFAFCFEFCFFFFEEDBFEFDFCFFE
23,grapefruit,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",0xDFEFCEEFDFFEDAFFDBFFFFEFEFEFFDFF
24,remould,Morbi a ipsum. Integer a nibh. In quis justo.,0xCFBDF0DFFEFFFFFFFFFD4EFFDCDCDAFF
25,boneset,In congue.,0xFFFCFEEFEFEFFCDEFDCADEFEEDFFEFFF
26,daydream,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",0xDFFFEFEFCFFFCDEFEDFBDFFFFFEEDFFF
27,trifle,Praesent blandit lacinia erat.,0xEEAFAEFFEEFEFCFCFFDEFFFAEFEFFEEE
28,pavane,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0xEFEFCBDFADF75FBFFFFFDFFEFFEFEDEF
29,tares,Donec dapibus.,0xEFFFEEDDECDFCFCFCFBFECFEFECFFFFE
30,durance,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,0xDFDFF0FEEFFFFFDFECDFEDFFDFFEDFFF
