EmployeeID,TerritoryID
948,409
668,1226
600,4841
59,2439
12,1757
556,2530
391,2022
158,411
516,2182
66,3453
766,2068
868,773
761,1677
220,1461
907,853
564,955
453,2772
554,727
305,800
703,5186
652,1550
648,2976
941,1451
105,1557
300,1927
737,1605
356,3366
53,4517
478,279
398,4215
49,500
474,2330
968,942
870,367
864,1099
50,149
304,4316
268,3208
821,3247
875,765
18,2924
356,4310
449,1255
133,1784
353,4686
935,4897
343,2151
773,968
606,2369
642,3860
512,2735
354,2001
430,291
223,2843
980,5122
616,1439
646,2862
115,3130
969,1771
748,4200
149,1323
713,5045
52,2491
971,494
353,737
688,1534
491,5101
316,4182
505,3403
386,3488
152,3351
580,3802
184,4389
497,3323
263,3201
99,1238
944,1949
5,2634
153,3909
308,2953
636,2446
468,3777
192,4495
386,3707
847,4972
951,968
876,4741
537,1801
448,3714
114,3663
97,4944
468,5149
484,2373
880,2641
400,355
273,1879
361,4433
766,2807
31,1339
161,4892
878,1188
277,1049
772,3956
298,3140
117,4654
632,2790
658,5180
611,3634
132,2645
69,4792
17,346
982,4362
521,4478
136,2641
529,3284
99,4330
943,3008
955,173
8,817
265,3847
220,4905
439,1099
140,342
857,3685
959,473
928,2549
274,3076
225,3340
120,2161
322,3612
318,1884
742,3497
922,1996
786,35
680,3147
579,1401
775,4079
962,2312
339,5161
23,4282
574,2481
27,3697
328,2656
669,7
644,1095
638,1294
951,775
128,3984
400,4006
28,1045
714,967
218,2154
833,807
395,4670
366,4912
429,1986
240,4672
161,3477
633,1640
466,3876
849,4131
323,1096
363,1101
61,962
9,1639
268,4996
559,3910
686,1763
158,3964
651,2048
301,3044
542,2565
299,213
239,1623
588,28
407,2043
897,2667
207,1724
185,853
196,3599
392,2359
249,4682
884,1676
154,180
257,237
846,4174
198,4763
649,1893
126,3470
294,4790
922,1048
282,3936
607,1654
316,4102
55,5026
428,4521
111,1694
927,511
159,2426
454,1789
327,243
398,999
702,1114
724,4982
785,3638
7,4556
166,4982
470,384
