ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,ProductAdjective,ProductNoun
1,hellish headrooms,2067,96,98 per y,23.22,86,30,87,true,hellish,headrooms
2,menseless luxes,2040,599,03 per k,26.88,37,59,65,true,menseless,luxes
3,uncocked fatwa,223,171,20 per D,76.81,38,63,84,false,uncocked,fatwa
4,strawless pleaser,216,186,78 per d,35.44,24,16,12,true,strawless,pleaser
5,primsie inkblot,1100,469,86 per P,77.35,91,38,9,true,primsie,inkblot
6,discoid coolness,2611,750,25 per I,97.02,78,97,90,false,discoid,coolness
7,kinglike rasping,542,619,40 per d,58.73,79,45,98,true,kinglike,rasping
8,awesome intrants,1853,398,94 per g,77.01,66,95,1,true,awesome,intrants
9,stumbling rials,2560,86,95 per P,80.96,74,13,11,false,stumbling,rials
10,squarrose pacer,1007,800,25 per Q,32.87,52,47,7,true,squarrose,pacer
11,shorty stipples,706,507,85 per G,34.82,87,67,85,false,shorty,stipples
12,unfurred turban,2705,497,56 per D,6.35,8,98,8,false,unfurred,turban
13,prostate airframes,1043,641,12 per E,29.98,35,63,60,false,prostate,airframes
14,triploid drumstick,1354,90,99 per a,40.9,87,70,77,true,triploid,drumstick
15,massive archers,1685,465,79 per S,6.05,82,57,87,false,massive,archers
16,smarmy foothills,627,594,44 per d,70.46,97,14,10,true,smarmy,foothills
17,nightly premix,2566,778,08 per L,51.89,24,17,94,false,nightly,premix
18,uncut nookie,228,60,00 per X,64.89,16,52,3,false,uncut,nookie
19,unfit beaglings,1185,608,21 per S,1.06,27,19,29,true,unfit,beaglings
20,unreached tailplanes,978,177,64 per z,80.19,28,70,58,true,unreached,tailplanes
21,grave placer,2322,239,11 per x,55.23,43,64,18,true,grave,placer
22,harmful toroids,2316,71,59 per j,18.69,57,31,95,true,harmful,toroids
23,tamest muskegs,2156,91,79 per i,95.31,48,34,24,false,tamest,muskegs
24,pilose parchment,24,762,21 per D,65.76,83,50,42,true,pilose,parchment
25,crusty primage,307,96,80 per b,31.9,84,56,7,false,crusty,primage
26,aged skellum,1391,543,31 per d,27.75,61,12,16,false,aged,skellum
27,attack legates,919,415,98 per Q,9.87,58,41,8,true,attack,legates
28,ahead hackler,2692,528,69 per Z,74.46,82,49,31,false,ahead,hackler
29,obtuse horsetails,444,588,63 per G,69.06,22,93,8,false,obtuse,horsetails
30,windy grifters,1968,321,75 per i,17.88,58,43,3,true,windy,grifters
31,outlined burka,2390,280,99 per m,16.33,62,63,88,true,outlined,burka
32,frowsy tempest,2816,446,03 per m,66.16,60,64,19,false,frowsy,tempest
33,grumbly stanzas,2774,203,26 per V,29,14,85,35,true,grumbly,stanzas
34,laden pinning,2497,450,30 per M,47.29,42,36,50,false,laden,pinning
35,surgy downhill,1085,310,66 per k,50.41,74,30,35,true,surgy,downhill
36,podgy spherules,2231,171,93 per C,52.34,50,34,24,true,podgy,spherules
37,unclipped moistures,2621,678,76 per E,20.99,9,4,18,true,unclipped,moistures
38,cankered ramblers,1122,326,11 per d,64.94,5,30,57,false,cankered,ramblers
39,umber clubhouse,1212,746,67 per Z,11.73,1,96,6,true,umber,clubhouse
40,pedal efflux,1261,509,52 per X,22.92,44,84,26,true,pedal,efflux
41,nutant vanguards,2675,762,03 per W,87.71,8,25,36,true,nutant,vanguards
42,unbent luges,2808,744,88 per O,6.49,27,92,50,true,unbent,luges
43,deathly bareness,760,273,66 per C,65.46,22,13,37,true,deathly,bareness
44,oily drizzle,2117,189,87 per J,46.28,82,64,95,true,oily,drizzle
45,dormant nutmegs,2201,251,52 per l,81.81,79,47,68,true,dormant,nutmegs
46,phonic braising,2210,324,63 per J,98.29,90,4,69,false,phonic,braising
47,sapless kenaf,471,143,34 per C,5.63,61,77,97,false,sapless,kenaf
48,berserk chromite,688,42,59 per K,55.67,44,51,88,true,berserk,chromite
49,winy pawnees,1775,415,17 per Z,68.01,37,62,8,false,winy,pawnees
50,hooly moonstone,389,578,77 per a,91.19,18,78,59,true,hooly,moonstone
51,panniered necklets,2239,274,20 per s,63.43,28,87,36,false,panniered,necklets
52,valvate resolve,825,30,44 per V,15.57,66,35,20,false,valvate,resolve
53,divers timbales,821,566,27 per w,74.62,7,32,16,false,divers,timbales
54,broadloom lulu,1945,236,75 per Z,31.11,84,59,26,false,broadloom,lulu
55,noisy slighter,2889,493,59 per m,42.81,71,21,50,false,noisy,slighter
56,gluey shocker,1268,648,43 per l,96.55,42,11,80,true,gluey,shocker
57,peaty cassia,147,488,75 per B,66.38,8,19,10,true,peaty,cassia
58,storeyed esquires,847,350,63 per S,11.01,67,13,16,true,storeyed,esquires
59,unwaked viewing,2070,744,53 per Y,18.46,26,5,58,false,unwaked,viewing
60,tenor lapel,302,773,77 per Z,48.92,78,97,74,false,tenor,lapel
61,speeding rhexis,1628,410,85 per V,98.35,27,1,18,true,speeding,rhexis
62,teensy scheelite,1030,461,82 per m,45.19,100,94,62,true,teensy,scheelite
63,slender drugging,2163,700,18 per I,10.3,19,42,74,false,slender,drugging
64,sunbeamed moorlands,322,269,88 per W,43.99,34,78,32,true,sunbeamed,moorlands
65,patchy sealant,110,786,81 per e,63.69,48,77,38,true,patchy,sealant
66,messy tenors,2005,512,48 per O,46.34,11,65,28,true,messy,tenors
67,heedless searcher,91,174,06 per m,83.11,68,9,40,true,heedless,searcher
68,plusher biter,410,354,96 per e,86.19,10,26,77,false,plusher,biter
69,branchless blinder,2855,159,68 per T,66.57,3,100,79,true,branchless,blinder
70,ctenoid milkmaids,1887,482,46 per i,93.23,92,25,99,true,ctenoid,milkmaids
71,dicky lamperns,2167,790,99 per x,36.48,91,43,90,true,dicky,lamperns
72,sylphic randie,1939,472,68 per f,80.76,50,77,41,false,sylphic,randie
73,tricksome treason,262,705,34 per s,28.85,90,35,38,true,tricksome,treason
74,aglow weirdies,2534,108,08 per T,62.96,33,13,91,false,aglow,weirdies
75,horal cincture,844,494,42 per v,89.29,37,4,10,false,horal,cincture
76,attired mongo,330,657,21 per j,66.66,45,59,99,true,attired,mongo
77,hardened wheelwork,313,250,51 per K,78.35,82,7,7,false,hardened,wheelwork
78,scrotal agape,1359,536,81 per P,18.71,99,59,72,false,scrotal,agape
79,ganoid deejay,1945,401,48 per P,72.15,89,63,88,true,ganoid,deejay
80,morose sacker,1558,117,49 per o,92.11,57,13,91,false,morose,sacker
81,wretched mugworts,2643,283,30 per J,30.08,99,8,69,false,wretched,mugworts
82,forceless ringsides,840,225,44 per U,30.12,9,57,13,false,forceless,ringsides
83,sugared douses,715,344,23 per k,88.95,32,81,17,true,sugared,douses
84,kinless goffers,2890,595,91 per i,43.25,44,58,64,false,kinless,goffers
85,noiseless coteau,2063,713,79 per F,26.31,78,60,57,false,noiseless,coteau
86,goateed sophist,778,36,00 per H,35.68,31,94,90,false,goateed,sophist
87,itching diwans,1261,136,02 per D,85.28,32,81,57,true,itching,diwans
88,spaceless hamals,51,456,92 per o,15.42,55,57,83,false,spaceless,hamals
89,sandy kali,2504,608,60 per L,25.4,10,60,56,false,sandy,kali
90,lavish nightshade,2110,431,45 per t,66.54,87,14,12,false,lavish,nightshade
91,dauntless eunuch,2663,339,70 per k,90.76,6,12,21,false,dauntless,eunuch
92,weary volleys,776,261,26 per T,55.88,66,27,11,true,weary,volleys
93,thready softness,1000,327,22 per U,42.31,94,12,68,true,thready,softness
94,asphalt fetches,1388,699,09 per j,8.47,14,46,67,true,asphalt,fetches
95,bashful trawler,1533,619,88 per d,72.06,20,76,55,true,bashful,trawler
96,scanty caudles,1505,351,83 per C,82.21,75,11,85,false,scanty,caudles
97,prefab loggia,238,788,29 per t,28.6,25,90,15,false,prefab,loggia
98,toneless rhythmics,71,666,87 per q,11.18,40,55,83,false,toneless,rhythmics
99,lento stonefish,990,550,31 per U,99.85,78,14,73,false,lento,stonefish
100,unchanged knockers,502,24,36 per s,27.89,16,37,41,true,unchanged,knockers
101,unforced holists,932,65,84 per z,12.43,46,99,30,false,unforced,holists
102,stockish wekas,1915,208,33 per N,44.63,9,50,77,false,stockish,wekas
103,obverse traverse,1739,333,93 per y,14.38,84,74,57,false,obverse,traverse
104,devout moufflons,1957,121,78 per H,86.88,12,72,40,true,devout,moufflons
105,giggly tawer,664,375,41 per l,67.94,54,39,14,false,giggly,tawer
106,pasted rabbets,595,710,24 per Q,49.59,8,48,40,false,pasted,rabbets
107,boding playschools,119,156,03 per F,72.38,48,11,62,true,boding,playschools
108,yeasty shoetrees,1140,365,45 per I,79.52,89,29,97,true,yeasty,shoetrees
109,mossy flattop,666,688,03 per q,5.89,50,53,60,false,mossy,flattop
110,chancrous chequebooks,1447,29,00 per y,11.83,62,99,52,false,chancrous,chequebooks
111,aging repaints,2665,215,41 per b,98.83,86,40,19,true,aging,repaints
112,willful samplers,280,67,75 per A,79.87,9,54,90,true,willful,samplers
113,inrush schnauzer,1228,629,13 per q,97.93,79,10,72,true,inrush,schnauzer
114,fubsy shower,662,757,07 per n,6.65,87,32,19,true,fubsy,shower
115,pious stripers,1918,565,41 per B,3,24,15,19,false,pious,stripers
116,connate cracker,74,519,56 per w,22.89,56,57,81,true,connate,cracker
117,moonless armlets,2677,341,40 per w,4.59,24,32,67,true,moonless,armlets
118,outdoor crankles,1921,696,39 per F,18.08,9,63,67,true,outdoor,crankles
119,grasping dashes,2310,755,57 per w,98.53,38,33,31,false,grasping,dashes
120,coated nanism,1378,388,04 per v,73.74,82,32,86,true,coated,nanism
121,plastered gamings,858,160,69 per W,89.43,9,70,92,false,plastered,gamings
122,drippy plafond,1417,321,93 per V,63.03,5,4,98,true,drippy,plafond
123,devout shives,1521,534,57 per i,21.06,80,93,47,false,devout,shives
124,ingrained seconde,2314,143,38 per I,52.63,98,5,43,true,ingrained,seconde
125,velate motes,1805,415,24 per L,5.27,2,44,31,true,velate,motes
126,fratchy neurons,2503,599,45 per i,98.08,66,69,68,false,fratchy,neurons
127,bursting dainties,833,44,84 per C,5.84,53,98,14,false,bursting,dainties
128,talking minnow,1487,72,58 per B,75.27,64,11,77,false,talking,minnow
129,sweated phalange,2333,222,82 per u,19.9,19,6,20,true,sweated,phalange
130,slimmer obtund,1651,182,92 per Z,91.63,67,61,86,false,slimmer,obtund
131,matchless chipmunk,1832,769,70 per J,26.26,60,80,23,true,matchless,chipmunk
