TerritoryID,TerritoryDescription,RegionID
1,Klampis,3
2,General Guido,2
3,Šilheřovice,2
4,El Puente,4
5,Bayeman,2
6,Behābād,4
7,Karakul’,1
8,Liangdang Chengguanzhen,4
9,Jaguaruana,3
10,Houilles,1
11,Yuewan,1
12,Ush-Tyube,1
13,København,4
14,Bollnäs,4
15,Jiuchi,1
16,Tomakomai,4
17,Cikuya,2
18,Cuilco,4
19,Quţūr,2
20,San Juan de los Morros,4
21,Yirshi,2
22,Jargalant,2
23,Bình Minh,1
24,Pontal,4
25,Medina,2
26,Cisewu,4
27,Ferreira do Zêzere,4
28,Hōjō,3
29,Gocoton,3
30,Miejska Górka,3
31,Sarangmeduro,2
32,Sapadun,2
33,Alençon,4
34,Tal’ne,2
35,Jiesheng,4
36,Gaoqiao,1
37,Kiffa,1
38,Dūrā al Qar‘,1
39,Nevers,1
40,Kadubincarung,4
41,Dromiskin,4
42,Santo Antônio de Posse,3
43,Urazovo,3
44,Rio do Sul,2
45,Angoulême,2
46,Pertunmaa,1
47,Vacoas,4
48,Stung Treng,3
49,Bipolo,4
50,Czyżowice,3
51,Ligang,2
52,Ruse,2
53,Beltinci,2
54,Mikrókampos,3
55,Canoinhas,3
56,Enniskerry,1
57,Hyesan-si,3
58,Citalahab,4
59,Parang,4
60,Palca,4
61,Chencun,3
62,Svirsk,2
63,Kari,2
64,Paniqui,1
65,Ningshan Chengguanzhen,2
66,Mardakyany,4
67,Hetou,4
68,Staryye Atagi,3
69,Changfu,4
70,Morcolla,4
71,Pont-Audemer,4
72,Yuyapichis,1
73,Yazykovo,3
74,Hongshi,3
75,Druzhny,4
76,Shitong,3
77,Fenglu,1
78,Kovilj,3
79,Kajatian,3
80,Yanbei,4
81,Lomme,2
82,Andongrejo,3
83,Koška,3
84,Simpang,1
85,Jamban,3
86,Fangshan,1
87,Shuangxi,3
88,Bánov,3
89,Thị Trấn Thuận Châu,4
90,Magugu,4
91,San Pedro One,4
92,Calaba,2
93,São Carlos,2
94,Dzerzhinskiy,1
95,'s-Hertogenbosch,1
96,Kosmach,3
97,Kanbe,2
98,Tugu,1
99,Qiandeng,4
100,Clearwater,4
101,Shashūbay,4
102,Sanpai,2
103,Quimperlé,4
104,Shaliu,4
105,Terentang,1
106,Medina Estates,1
107,Balgatay,3
108,Ust’-Ilimsk,4
109,Cuauhtemoc,3
110,Sioguí Abajo,3
111,Senovo,4
112,Tokār,1
113,Uacon,1
114,Kindu,2
115,Ban Chang,4
116,Wansheng,3
117,Xianchiyu,2
118,Mankoeng,4
119,Łęki Szlacheckie,4
120,Cateel,4
121,Tsushima,4
122,Papër,4
123,Camindangan,4
124,Baie-Comeau,4
125,Sumberrejo,4
126,Guocun,4
127,Oropesa,3
128,Teculután,4
129,Capacho Viejo,4
130,Hanyin Chengguanzhen,1
131,Xiabuji,1
132,Italó,1
133,Krajan Waturoyo,3
134,Hake,4
135,Sinyavino,1
136,Maikawada,1
137,Tandayag,3
138,Nawal,4
139,Kieta,2
140,Banjar Ponggang,2
141,Teykovo,3
142,Ainaži,3
143,Hutou,2
144,Shitong,3
145,El Porvenir,3
146,Komorów,3
147,Borbon,4
148,Changtan,2
149,Taipingchuan,2
150,Jevišovice,1
151,Yingmaili,4
152,Valerik,4
153,Nanqiao,2
154,Wangqinzhuang,3
155,Badung,2
156,Laoqiao,1
157,Yushan,3
158,Licheng,4
159,Tashla,1
160,Peza e Madhe,1
161,Brka,4
162,Pajarillo,1
163,Kadugadung,3
164,Changsu,4
165,Haiyan,3
166,Minador do Negrão,1
167,Narsingdi,4
168,Xiluo,3
169,Atok,2
170,Saint-Chamond,3
171,Shitang,4
172,Mertzig,4
173,Mekarsari,2
174,Masis,3
175,Chengdong,2
176,Mapalad,2
177,Kuala Belait,3
178,San Pedro,2
179,Shizong,1
180,La Fortuna,2
181,Bolekhiv,3
182,Kupahandap,4
183,Banyulegi,1
184,San Francisco de Yare,1
185,Chão de Couce,1
186,Reinaldes,4
187,Mirandopólis,1
188,Altay,2
189,Čejkovice,1
190,Marabá,3
191,Dukoh,1
192,Louredo,1
193,Shiroishi,1
194,Długosiodło,3
195,Gongchang,4
196,Dangchang Chengguanzhen,2
197,Akademija (Kaunas),4
198,Quimper,1
199,Jīt,4
200,Dalmacio Vélez Sársfield,1
201,Qiting,3
202,Caicara,2
203,Vällingby,2
204,La Plaine-Saint-Denis,3
205,Guangsheng,4
206,Žrnovo,4
207,Puolanka,2
208,Liangshuijing,4
209,Koson Shahri,3
210,Puerto Plata,4
211,Novo-Peredelkino,1
212,Sājir,1
213,Ilanskiy,1
214,Barrī ash Sharqī,4
215,Kakanj,3
216,Mohale’s Hoek,2
217,Jacutinga,2
218,Chiryū,3
219,Waitenepang,1
220,Buarcos,1
221,Polýkastro,4
222,São João de Meriti,2
223,Fengmu,2
224,Kanashevo,3
225,Skópelos,4
226,Bambali,3
227,Elbasan,2
228,Daleman,3
229,Spitsevka,3
230,Aghada,1
231,Ruma,1
232,Pontevedra,3
233,Avanca,2
234,Jimusa’er,2
235,Kissimmee,4
236,Marco,1
237,Oštarije,3
238,Lushikeng,4
239,Noyon,4
240,Wenwucao,2
241,Mambulo,1
242,Brusyliv,4
243,Phanat Nikhom,3
244,Pataruman,1
245,Yekaterinovka,4
246,Mārupe,3
247,Parchal,4
248,Boyany,4
249,Pakuncen,2
250,Shibukawa,3
251,Corona,2
252,Proboštov,2
253,Watubuku,2
254,Barreirinhas,3
255,Lycksele,4
256,Vitry-le-François,1
257,Songhu,2
258,Olopa,3
259,Puerto Asís,2
260,Dąbie,4
261,Wuxi,4
262,Champaign,2
263,Gyeongsan-si,3
264,Lower Hutt,2
265,Anin,3
266,Mandiana,3
267,Changxing,2
268,Aguadas,3
269,Río Grande,2
270,Xuyong,3
271,Yangchun,1
272,Yamkino,2
273,Munjungan,2
274,Lycksele,3
275,Cajacay,3
276,Renshan,1
277,Dar Chabanne,2
278,Daweishan,1
279,Aubagne,1
280,Bojongsari,3
281,Laúndos,2
282,Jacobina,4
283,Nelson,2
284,Vellinge,3
285,Kaduela,1
286,Vilya,4
287,Quinta,4
288,Sindangraja,2
289,Syntul,2
290,Bykivka,1
291,Strašice,3
292,Lis,4
293,Sumbermanggis,2
294,Zykovo,3
295,Zhongtang,1
296,Talagasari,3
297,San Pedro,2
298,Gafsa,1
299,Rizal,1
300,Wootton,2
301,Volodymyr-Volyns’kyy,3
302,Dianbu,2
303,Santa Marta,2
304,Clearwater,3
305,Wuli,4
306,Norrköping,2
307,Lulindi,3
308,Jönköping,4
309,Sơn Tịnh,1
310,Khok Sung,3
311,Tekikbanyuurip,2
312,Luthu,1
313,Pylaía,3
314,Palompon,2
315,Tha Yang,1
316,Valeirinha,2
317,Gribanovskiy,4
318,Shengshan,3
319,El Chol,2
320,Gubuk Daya,3
321,Salmi,4
322,Boston,4
323,Volodarsk,1
324,Zaghouan,1
325,Mikrókampos,4
326,Hekou,1
327,Circa,1
328,Bilo,1
329,Hongos,2
330,Maralal,2
331,Uppsala,3
332,San Francisco,4
333,Falun,1
334,Ngajum,3
335,Cam Ranh,3
336,Yogyakarta,1
337,Newbiggin,4
338,Cibeusi,3
339,Gualeguay,3
340,Pulilan,4
341,Asbest,1
342,Fenkeng,2
343,Tanumshede,4
344,Lago da Pedra,2
345,Cañete,1
346,Pô,4
347,Bartolomé Masó,3
348,Santa Rosa,2
349,San Fernando Apure,3
350,Zhoutian,3
351,Ambohitrolomahitsy,1
352,Picos,2
353,Fruitvale,3
354,Macha,2
355,Miguelópolis,2
356,Volodarsk,2
357,Chornorudka,4
358,Dikson,2
359,Qaryūt,4
360,Allanridge,2
361,Usol’ye,2
362,Ujmisht,3
363,Tomilino,2
364,Shenzhong,3
365,Dami,3
366,Cikadu,1
367,Shibukawa,1
368,Antalaha,2
369,Phan Rang-Tháp Chàm,1
370,Saint-Brieuc,4
371,Batelov,3
372,Vidyayevo,4
373,Jiyang,4
374,Lindome,3
375,Nkhotakota,1
376,Jianzhatan,2
377,Babakantugu,3
378,Puerto Madryn,3
379,Blansko,1
380,Laibin,2
381,Sigay,3
382,Uralo-Kavkaz,1
383,Štitar,1
384,Lenešice,4
385,Sarakhs,3
386,Akure,3
387,Calumpang,3
388,Bang Rak,2
389,Zhongxin,2
390,Nynäshamn,1
391,Wang Saphung,3
392,Bethanie,1
393,Kotuń,2
394,L'viv,1
395,København,2
396,Hujiagou,3
397,Pôsto Fiscal Rolim de Moura,1
398,Choisy-le-Roi,3
399,Hongmei,1
400,Wuxia,1
401,Linton,1
402,Kamieniec Wrocławski,4
403,Puncakmanis,1
404,Gayny,4
405,San Pablo,2
406,Muarabuliti,1
407,Sōja,1
408,Shimonoseki,4
409,Arísvi,4
410,Taibao,2
411,Hōfu,4
412,Guatire,4
413,Susunan,4
414,Oklahoma City,1
415,Iporá,4
416,Somita,4
417,Qixian,2
418,Coromoro,3
419,Xinfang,3
420,Qala i Naw,3
421,Vienna,1
422,Solânea,3
423,Ždánice,1
424,Berlin,1
425,Jiangbei,4
426,Promyshlennaya,1
427,Nuevo Chamelecón,4
428,Amashca,2
429,Horodnya,4
430,Sidi Bouzid,1
431,Gore,2
432,Zhuhu,3
433,Versailles,3
434,Ellinikó,2
435,Pilzno,3
436,Vanáton,3
437,Payaman,4
438,Zheleznogorsk-Ilimskiy,1
439,El Paisnal,2
440,Ochër,3
441,Metsovo,3
442,Brak,2
443,Andradina,3
444,Ojiya,3
445,Afaahiti,3
446,Kista,3
447,Žulová,4
448,Ambato Boeny,3
449,Allen,4
450,Noyon,2
451,Zhuqi,3
452,Jawl al Majma‘,3
453,Requião,4
454,Kalanchak,3
455,São Gotardo,1
456,Cruzília,4
457,Bačka Topola,4
458,Las Toscas,4
459,Floreşti,4
460,Hoçisht,3
461,Poxi,2
462,Hancheng,1
463,Yeshan,3
464,Bato,4
465,Shilipu,4
466,Krajan Karangwage,1
467,Cruz del Eje,1
468,Vyazniki,4
469,Cuijiamatou,2
470,Franca,2
471,Byerazino,2
472,Lozova,2
473,Elbasan,1
474,Huangqiao,1
475,Noyon,4
476,Orlando,2
477,Krasnomayskiy,3
478,Kuala Terengganu,3
479,Arbois,4
480,Seixas,4
481,Palhais,1
482,Satowebrang,2
483,Havlíčkův Brod,2
484,Dongchengyuan,3
485,Heshui,2
486,Tabalong,3
487,Youwei,1
488,Santuario,2
489,Morales,3
490,Gumaus,2
491,Famaillá,1
492,Hat Yai,1
493,Wanmingang,4
494,Zagoryanskiy,3
495,Sandymount,3
496,Pretoria,3
497,Lille,1
498,Strzelce Krajeńskie,3
499,Igreja,2
500,Alcala,1
501,Jalatrang,4
502,Shingū,2
503,Bakung,1
504,Currais,4
505,Antalaha,1
506,Adil Makmur,3
507,Aguilares,1
508,Kertayuga,3
509,Abū Sunbul,4
510,Comandante Fontana,2
511,Jinggongqiao,1
512,Surup,4
513,Xianlong,2
514,Milano,1
515,Shishang,4
516,Cincinnati,3
517,Kure,4
518,Gaohe,2
519,Anjō,3
520,Montpellier,3
521,Dome,4
522,Lambangan Kulon,2
523,Sibanicú,4
524,Korotych,4
525,Lincoln,2
526,Ta’erqi,3
527,Qalqīlyah,3
528,Cabañas,1
529,Palon,2
530,Mambusao,1
531,Lavaur,2
