CategoryID,CategoryName,Description,Picture
1,someone,Nunc purus.,0xFECDFFEFFBDFEFEDD5EFFFEECCFFEEDF
2,bulwarks,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",0xEDDFEEEFCFEFFFD0FFDFDEEEEFCEFBEF
3,wreathes,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0xEFFFDEFDAEFFEDEEEFFEFFEFFFEFFDDD
4,sponsons,Pellentesque ultrices mattis odio. Donec vitae nisi.,0xCFEBECFFEEFFBEFEEDEEFECEFFFCEDFF
5,anode,Vestibulum sed magna at nunc commodo placerat.,0xEEBEEEEFFCEFFFFEFFDFEFEEFDEFDDEF
6,lapstrake,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",0xFBFEFCFFCFFEFFFFDFEEFCFDDFFEDEFD
7,nylons,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,0xFFEEEECFEFFFEEEFFFFEDEFFDFCFECFC
8,garnish,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",0xEEEEDBEC2FEDFEDFFFBFEDFDDFFFDCFF
9,cowlick,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,0xFFFFECFFEFFFCFBFFEFFEFFDFFCFEEFD
10,ciders,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0xFFEFFFFFCDFFDFFEFEEFDFDDFFFEFFDE
11,isthmus,Cras non velit nec nisi vulputate nonummy.,0xDFFBFFFFFEFFFFEFFF9FCCEFEEEFEFFF
12,leavings,Duis bibendum. Morbi non quam nec dui luctus rutrum.,0x83FCFEFFFFDFDEEFECFDDFBFFFFFEFDD
13,sneerer,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0xFF1FFFCFFDDFF0CFDCFFFEEBFDFFFEEE
14,rundlets,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,0xECFEFFEFFBFFFFFFEFEEDFDFFFFCFFFF
15,bloodstone,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0xFFEFDCFEDFFCA0EEEFEFEFF9FFFEEFFF
16,shiners,Fusce consequat. Nulla nisl.,0xCEFFEFEEFFEFEFDE7FDFEAEFEDDEEFFD
17,pollack,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,0xCDEFEFDEEFBFFFFCFEFFEDEDAEFFCEDE
18,crimmers,Phasellus sit amet erat. Nulla tempus.,0xEFFEBFEDFFDFFFEEEEEFFBFFDDFFFDFF
19,mantra,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0xEFF9FFFFCFFFDFFFFF8FFCFDEDFEEFEF
