EmployeeID,TerritoryID
87,293
22,298
17,77
98,165
28,194
56,98
90,389
32,331
25,505
89,332
37,126
13,135
38,395
100,96
53,234
23,69
100,467
42,331
51,106
55,514
10,111
87,406
32,240
22,134
34,437
14,64
46,16
75,501
34,459
25,448
85,76
72,214
56,19
61,267
24,405
5,76
88,498
54,425
24,267
20,351
99,274
58,520
99,429
22,262
19,347
68,425
40,237
89,166
52,205
50,137
41,465
33,125
43,164
98,439
60,404
50,203
36,370
33,9
70,368
64,24
37,153
11,197
29,491
52,447
66,202
93,285
68,309
58,89
64,341
86,91
87,75
70,14
79,348
65,439
55,305
28,150
56,183
6,300
54,490
55,408
14,240
81,254
94,21
28,282
83,429
2,290
36,27
11,337
34,122
54,405
1,62
31,512
97,132
5,368
10,430
99,402
31,48
82,51
3,201
14,210
19,85
70,431
74,263
100,348
4,486
5,147
13,73
43,61
100,282
23,503
24,163
69,497
67,35
71,184
16,160
52,129
24,157
99,129
32,487
35,64
91,244
85,86
68,486
43,430
28,391
82,303
74,278
26,70
2,72
73,459
76,517
58,60
55,278
13,487
93,305
16,406
15,386
62,394
8,74
46,50
64,194
9,427
98,192
76,292
66,331
34,231
1,443
79,202
40,500
10,145
6,449
43,362
17,269
48,123
15,7
67,88
26,324
39,266
24,133
37,273
70,516
20,32
11,305
31,476
30,505
10,493
63,447
90,446
1,214
87,336
43,280
100,151
50,500
53,68
2,220
50,193
100,427
34,61
46,199
16,298
87,177
22,259
75,445
93,455
50,175
39,346
17,451
91,95
44,161
17,374
13,371
95,419
74,187
33,432
92,89
41,69
98,252
13,91
83,50
64,501
85,278
11,134
89,464
7,445
24,340
75,160
43,436
57,455
7,180
71,91
16,416
62,435
71,159
76,471
1,147
95,105
50,512
73,298
4,272
98,486
72,467
1,24
20,310
62,458
4,489
93,347
50,180
70,7
69,114
51,406
37,174
68,463
1,517
70,152
81,67
48,78
53,338
30,457
29,370
8,308
60,376
70,257
47,490
6,395
76,209
30,146
54,285
18,283
49,280
69,280
19,222
40,518
93,342
30,465
4,11
40,58
80,33
100,224
59,261
94,320
76,221
14,419
40,93
15,490
76,292
76,405
39,193
60,307
69,132
91,361
73,308
78,211
36,78
49,276
6,73
61,296
67,235
72,224
52,28
66,111
15,286
100,288
60,224
70,280
33,139
72,38
83,239
24,225
32,196
16,402
97,79
64,427
1,455
29,362
11,112
49,376
92,19
35,226
20,280
49,449
94,431
63,162
52,279
5,86
72,253
17,242
78,174
78,327
10,256
20,488
44,512
31,360
13,196
45,160
71,134
78,349
98,507
53,98
92,139
8,98
4,411
93,296
12,138
38,259
92,354
67,196
18,360
6,383
83,393
49,493
14,443
92,256
9,417
62,47
56,437
17,35
38,393
87,92
79,512
52,330
52,19
30,425
63,174
99,508
57,140
98,126
83,253
46,509
47,437
48,320
69,357
25,401
36,254
73,121
62,295
74,470
24,27
12,59
18,498
76,218
62,321
66,366
65,1
36,394
94,157
81,502
89,218
47,74
51,447
70,218
64,291
88,489
71,273
62,162
42,257
23,185
23,467
38,340
59,274
46,475
23,419
62,487
46,505
5,464
50,226
91,373
48,265
91,206
98,319
73,251
17,219
66,24
50,94
77,125
47,30
64,263
81,164
12,99
9,58
22,203
5,233
97,477
86,68
60,308
48,108
9,371
59,451
83,239
4,431
52,463
83,4
65,211
98,417
62,510
49,160
91,196
65,329
36,295
37,358
56,18
39,123
9,412
68,101
71,61
26,342
40,361
27,145
50,447
27,256
52,311
13,445
95,437
73,415
45,48
33,213
89,405
78,163
40,414
50,449
68,286
37,146
79,322
90,510
58,96
64,343
72,104
20,408
93,445
21,492
72,188
6,409
31,342
69,15
31,100
51,340
15,408
39,121
51,272
94,367
7,306
45,491
83,353
80,436
29,173
36,473
73,506
15,180
36,434
28,434
93,414
8,311
13,12
75,67
5,360
100,472
61,144
66,190
4,401
4,443
21,354
