OrderID,ProductID,UnitPrice,Quantity,Discount
6156,13,39.28,6,0.09
1327,640,50.9,6,0.58
472,221,75.88,3,0.28
320,396,75.46,7,0.19
2697,279,11.75,9,0.7
2040,192,72.23,3,0.25
7688,70,67.42,8,0.08
2319,703,56.75,2,0.11
1515,325,64.94,4,0.31
5819,34,15.57,7,0.56
667,192,97.75,2,0.93
4387,289,95.66,10,0.15
2926,145,9.94,10,0.29
7542,613,45.75,7,0.28
2108,124,42.14,5,0.53
1459,490,24.61,2,0.43
356,714,56.33,3,0.34
6772,99,48.49,1,0.76
6416,466,47.84,8,0.89
7850,567,74.16,5,0.55
435,362,56.99,4,0.94
1314,350,47.95,4,0.25
7320,210,92.34,9,0.02
80,531,74.64,8,0.84
2713,35,43.72,8,0.39
2736,512,60.73,1,0.15
5401,303,72.65,4,0.16
3502,502,77.12,3,0.77
2878,90,15.18,8,0.68
1539,143,80.06,3,0.74
4079,100,47.68,10,0.97
807,287,37.93,1,0.33
8226,204,86.55,6,0.17
792,750,75.16,4,0.9
7901,225,3.51,8,0.51
6137,105,22.27,7,0.49
8192,463,57.03,10,0.93
1384,235,44.52,8,0.16
5455,736,33.44,9,0.98
5714,200,80.98,8,0.72
1689,728,7.5,4,0.75
2978,498,20.67,4,0.94
2500,409,95.03,7,0.75
3136,274,65.88,2,0.82
8054,224,78.53,6,0.32
7125,120,45.63,4,0.68
5612,121,73.29,6,0.46
626,75,88.47,3,0.11
6383,654,50.2,2,0.99
6534,722,62.18,2,0.91
2393,333,97.8,2,0.85
3170,600,38.23,5,0.9
2847,662,17.85,8,0.03
5925,298,94.79,3,0.6
2837,662,53.92,6,0.28
357,514,22.74,10,0.89
1176,763,21.82,9,0.05
2246,634,42.65,9,0.26
6323,405,96.8,8,0.5
3786,239,66.83,3,0.75
3437,424,13.67,7,0.54
8039,373,21.96,5,0.83
7417,414,19.75,7,0.76
1943,567,35.57,7,0.28
6414,152,57.36,7,0.61
8135,471,22.11,9,0.27
5537,84,4.55,10,0.58
6896,747,29.51,9,0.88
4021,400,73.01,9,0.18
1958,366,38.54,9,0.19
2272,97,73.07,5,0.97
1021,303,65.95,1,0.33
6964,569,87.07,5,0.04
3805,122,7.08,6,0.18
6637,767,73.9,8,0.8
5699,451,26.56,4,0.7
5041,348,86.31,2,0.95
574,493,30.77,3,0.06
3372,731,72.34,10,0.6
4435,653,77.83,4,0.66
948,156,92.98,5,0.79
6636,77,80.83,9,0.3
8060,79,63.77,7,0.13
2586,352,8.93,6,0.93
1508,262,34.83,1,0.06
8228,54,16.76,5,0.34
1887,32,9.74,1,0.84
303,636,6.99,2,0.29
963,111,47.61,1,0.76
2278,519,93.8,3,0.93
6278,254,29.02,4,0.51
6793,430,26.89,10,0.97
3435,203,81.1,5,0.37
8117,367,20.31,8,0.11
5085,391,68.3,7,0.99
7896,118,11.4,10,0.6
5640,445,99.96,10,0.68
1592,517,49.71,7,0.36
6361,424,81.11,10,0.56
4545,134,35.81,6,0.8
7285,320,32.24,5,0.8
2018,317,88.34,3,0.3
3350,12,57.57,10,0.47
