OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
1,284,91,2013-12-11,2013-12-25,2013-12-21,2,26.45,Meembee,9992 Riverside Junction,Chengzhong,,,China
2,163,37,2014-04-06,2014-04-20,2014-04-16,1,85.71,Feedmix,0337 Mayfield Trail,Yanac,,,Peru
3,161,63,2014-08-31,2014-09-14,2014-09-10,1,20.96,Youopia,9027 Moose Avenue,Rrapë,,,Albania
4,409,41,2014-03-27,2014-04-10,2014-04-06,1,87.52,Topicware,1972 Springs Park,Ponta do Sol,,,Cape Verde
5,881,5,2014-09-03,2014-09-17,2014-09-13,3,19.83,Jetpulse,31 Grasskamp Hill,Saint-Louis du Sud,,,Haiti
6,483,66,2014-11-21,2014-12-05,2014-12-01,1,85.58,Tagfeed,6754 Continental Avenue,El Estor,,,Guatemala
7,6,62,2014-09-02,2014-09-16,2014-09-12,1,26.95,Ainyx,08 Vera Junction,Lisovi Sorochyntsi,,,Ukraine
8,248,22,2014-04-07,2014-04-21,2014-04-17,1,98.95,Babbleset,290 Goodland Crossing,Xihe,,,China
9,880,1,2013-12-02,2013-12-16,2013-12-12,1,80.97,Leenti,5 Pond Hill,Anin,,,Indonesia
10,223,43,2014-06-09,2014-06-23,2014-06-19,2,70.15,Midel,866 Becker Drive,Dongshangen,,,China
11,690,95,2013-11-24,2013-12-08,2013-12-04,3,27.81,Jetwire,458 Westerfield Place,Jintang,,,China
12,140,66,2014-10-18,2014-11-01,2014-10-28,1,53.56,Feednation,4 Bayside Circle,Machado,,,Brazil
13,720,91,2014-08-07,2014-08-21,2014-08-17,2,13.06,Riffwire,6 Jackson Circle,Örnsköldsvik,Västernorrland,891 30,Sweden
14,868,47,2014-09-26,2014-10-10,2014-10-06,2,83.97,Jazzy,675 Dakota Pass,Francisco I Madero,Chiapas,30853,Mexico
15,60,40,2014-09-02,2014-09-16,2014-09-12,1,33.96,Demivee,69 Mifflin Terrace,Yabluniv,,,Ukraine
16,633,2,2014-10-13,2014-10-27,2014-10-23,3,61.75,Aibox,829 Larry Pass,El Cafetal,,,Venezuela
17,875,99,2014-01-06,2014-01-20,2014-01-16,3,20.95,Skiba,92335 Starling Road,Cristalina,,,Brazil
18,652,6,2013-12-28,2014-01-11,2014-01-07,2,11.86,Janyx,4841 Forest Avenue,La Maná,,,Ecuador
19,670,69,2014-07-05,2014-07-19,2014-07-15,3,64.83,Ntags,29 Colorado Place,Dalong,,,China
20,556,92,2014-03-02,2014-03-16,2014-03-12,1,84.64,Gabtype,8099 Huxley Road,Mantes-la-Jolie,Île-de-France,78718 CEDEX,France
21,440,69,2014-05-03,2014-05-17,2014-05-13,1,66.47,Devpoint,525 Bellgrove Plaza,Nankang,,,China
22,630,3,2014-09-14,2014-09-28,2014-09-24,2,76.7,Npath,05587 Sheridan Way,Sophia Antipolis,Provence-Alpes-Côte d'Azur,06905 CEDEX,France
23,758,29,2014-08-15,2014-08-29,2014-08-25,3,24.28,Youspan,9 Blaine Pass,Ranua,,,Finland
24,541,65,2014-05-05,2014-05-19,2014-05-15,2,77.3,Dablist,34 Forest Run Trail,Nantes,Pays de la Loire,44101 CEDEX 4,France
25,629,22,2014-05-16,2014-05-30,2014-05-26,2,36.6,Rhyzio,4963 Evergreen Way,Tambakmerak,,,Indonesia
26,552,13,2014-11-12,2014-11-26,2014-11-22,1,51.29,Cogilith,876 Corry Pass,Krajan Karangsari,,,Indonesia
27,386,28,2014-10-17,2014-10-31,2014-10-27,3,75.74,Fadeo,7 Coleman Plaza,Zelmeņi,,,Latvia
28,517,48,2014-02-20,2014-03-06,2014-03-02,1,42.8,Browsecat,42447 Kinsman Street,Sangojar,,,Indonesia
29,640,11,2014-07-07,2014-07-21,2014-07-17,1,43.73,Thoughtblab,3811 Algoma Alley,Kohlu,,,Pakistan
30,741,63,2014-05-12,2014-05-26,2014-05-22,1,40.48,Divanoodle,001 Johnson Terrace,Charlotte,North Carolina,28205,United States
31,408,93,2014-05-03,2014-05-17,2014-05-13,3,33.62,Abata,0 Pankratz Road,Pengilon,,,Indonesia
32,427,98,2013-12-23,2014-01-06,2014-01-02,2,6.58,Meembee,445 Westridge Point,Xinlong,,,China
33,639,66,2014-07-31,2014-08-14,2014-08-10,3,48.4,Realcube,2558 Dovetail Park,Maundai,,,Indonesia
34,111,76,2014-04-04,2014-04-18,2014-04-14,3,31.33,Bubblemix,160 Golf Terrace,Yufa,,,China
