ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,ProductAdjective,ProductNoun
1,idlest sindons,19,4,68 per z,38.53,73,52,55,false,idlest,sindons
2,basest clinics,26,1,15 per y,17.31,32,15,41,false,basest,clinics
3,riming lavas,15,3,41 per C,24.16,41,97,81,false,riming,lavas
4,barkless transcript,25,3,35 per L,58.54,22,53,10,false,barkless,transcript
5,textbook misrules,8,3,34 per U,19.31,91,60,12,true,textbook,misrules
6,biform backdrop,2,5,99 per p,40.6,98,37,21,false,biform,backdrop
7,unposed lemmas,28,4,94 per l,55.02,83,18,29,false,unposed,lemmas
8,bygone stalkers,21,2,53 per e,22.46,16,29,42,true,bygone,stalkers
9,dollish closer,23,3,37 per X,57.01,28,59,61,true,dollish,closer
10,unreined peepuls,8,8,86 per K,52.28,50,62,5,false,unreined,peepuls
11,bendy flushness,3,10,44 per f,95.38,66,40,10,true,bendy,flushness
12,glabrate mascon,1,6,32 per O,13.01,75,25,91,false,glabrate,mascon
13,blended groover,29,4,54 per P,98.11,50,72,68,true,blended,groover
14,dropsied mousers,9,7,63 per Z,55.3,96,21,14,true,dropsied,mousers
15,highbrow soutanes,16,10,72 per k,50.27,92,30,37,true,highbrow,soutanes
16,fuscous hartal,5,1,90 per Z,22.43,55,37,21,true,fuscous,hartal
17,crimpy duiker,25,2,12 per c,24.8,62,6,38,true,crimpy,duiker
18,unstocked rhomboid,23,6,59 per B,97.96,44,77,63,true,unstocked,rhomboid
19,sollar punties,5,7,33 per i,39.31,76,34,54,true,sollar,punties
20,gamesome cambrels,21,9,05 per n,18.12,96,10,48,false,gamesome,cambrels
21,fibrous lentil,3,9,36 per x,26.07,40,79,100,false,fibrous,lentil
22,unmilled hadrons,23,6,22 per t,30.08,16,24,5,true,unmilled,hadrons
23,intime tangier,22,4,25 per r,88.82,44,100,32,true,intime,tangier
