TerritoryID,TerritoryDescription,RegionID
1,Nikol’skoye,1
2,Platičevo,3
3,Vostochnoe Degunino,4
4,Nedakonice,1
5,Fengle,3
6,Banjarwaru,2
7,Mbanza Congo,4
8,Lincheng,1
9,Muzambinho,2
10,Anhua Daying,3
11,Issy-les-Moulineaux,3
12,Banjar Bucu,1
13,Guarenas,2
14,Loum,2
15,Beidu,1
16,Zimmi,1
17,Jiebu,1
18,Mooka,2
19,Hecheng,1
20,Brejos,3
21,Bar,3
22,Norzagaray,3
23,Krajan Tegalombo,1
24,San Fernando,1
25,Quanshang,2
26,Göteborg,1
27,Dongguan,1
28,Pengxing,3
29,Pahing Pamulihan,4
30,Ocala,4
31,Addiet Canna,1
32,Metsamor,2
33,Belfast,1
34,Zhengdonglu,3
35,Särevere,3
36,Quảng Ngãi,1
37,Crumlin,2
38,Castañas,1
39,Pasian,1
40,Yege,3
41,Staroshcherbinovskaya,1
42,Janaúba,4
43,Tasböget,2
44,Čelopek,4
45,Concepción,2
46,Norfolk,4
47,Phoenix,4
48,Cikalong,1
49,Motge,2
50,Sobreiro,2
51,Suqu,4
52,Milanów,3
53,Vnanje Gorice,2
54,Kragujevac,2
55,Chikan,4
56,La Sabana,1
57,Huangban,2
58,Zhongping,1
59,Gereneng,2
60,Czarne,3
61,Buenos Aires,3
62,Jamundí,3
63,Vredendal,1
64,Baraya,4
65,Saint-Gratien,1
66,Lumbangan,3
67,Nankengzi,1
68,Kawaguchi,1
69,Afántou,2
70,Ševica,1
71,Příšovice,2
72,Lindome,2
73,Vakhtan,4
74,Congkar,3
75,Nowogard,4
76,Shaoguan,1
77,Rakszawa,2
78,Tournai,3
79,Rudna Mała,4
80,Veselí nad Moravou,1
81,Lleida,4
82,Kiarajangkung,2
83,Namalenga,4
84,Presidente Médici,4
85,Momanalu,3
86,Añatuya,3
87,Tuopu Luke,4
88,Huangji,4
89,Huaihua,3
90,Rathnew,3
91,Isulan,1
92,Morioka-shi,2
93,Bembèrèkè,1
94,Buguruslan,4
95,Cengang,2
96,Pāvilosta,3
97,Xingzhen,4
98,Mossoró,2
99,Antes,3
100,Tugusirna,3
101,Zaragoza,3
102,Ḩāfiz̧ Moghul,1
103,Basiao,3
104,Komorní Lhotka,1
105,Kuala Terengganu,2
106,Shijiao,1
107,Rizal,3
108,Keputran,2
109,Daishan,3
110,Karditsomagoúla,2
111,Örebro,2
112,Bagay,4
113,Burns Lake,2
114,Arapongas,4
115,Ključ,3
116,Thetford-Mines,1
117,Malaga,1
118,Ciodeng,1
119,Békéscsaba,1
120,Ramat Gan,2
121,Sandefjord,4
122,Niemodlin,1
123,Diyarb Najm,2
124,Itako,2
125,Yessentuki,2
126,Veyno,2
127,Penteado,1
128,Konde,1
129,Briey,4
130,Arai,3
131,Gushan,2
132,Palalang,3
133,Shōbu,3
134,Bat Khela,3
135,Bombu,1
136,Banaba,4
137,Buzen,1
138,Junín,4
139,Lengshui,4
140,Siikajoki,4
141,Joinville,3
142,Anau,4
143,Hangu,1
144,Al Lubban al Gharbī,2
145,Amadora,1
146,Kefang,3
147,Skalbmierz,2
148,Rusnė,2
149,Condado,4
150,Mardakyany,3
151,Barra do Garças,4
152,Tangwu,2
153,Nantes,4
154,Blinsung,4
155,Lafayette,2
156,Cametá,3
157,Xinhua,1
158,Vratsa,4
159,Gornji Breg,2
160,Biting,3
161,Vavuniya,1
162,Macaíba,4
163,Chợ Mới,1
164,Creighton,4
165,Masaguisi,4
166,Kasaoka,3
167,Nanjia,2
168,Jirjā,4
169,Shijiao,3
170,Bagong Pagasa,3
171,Kičevo,4
172,Zastávka,4
173,Oke Iho,3
174,Teluk Pinang,4
175,Conima,2
176,Portorož,3
177,Omaha,3
178,Ercheng,4
179,Narita,1
180,Torbay,2
181,Wien,3
182,Chon Daen,2
183,Budapest,1
184,Bieto,4
